producttitle,title,rating,review,text,sentiment,confidence,textblob_polarity,subjectivity,sentiment_category
Bookkeeper: Easily Manage Your Business Finances,Requires Security be turned off Windows,3,"Windows 10 no longer supports software requiring Security turned off. This software requires the safety feature to be turned off to add an email address to the company file. I did not get too much further beyond setting up 2 startup companies due to time and information constraints. Not the most user friendly software I have seen. However, for the money, it is decent. Will be able to tell more as time permits for working with the software.",requires security turned window window longer support software requiring security turned software requires safety feature turned add email address company file get much beyond setting startup company due time information constraint user friendly software seen however money decent able tell time permit working software,NEGATIVE,0.992533207,0.223333333,0.473333333,Positive
Bookkeeper: Easily Manage Your Business Finances,not what I wanted,2,"The product was not what I was looking for.  I need a good book keeping program that is easy to use,  This one did not come with a manual except on line and I want a written manual that I can reference as needed without the internet.  It did not show a profit/loss statement and I was not happy with it in general.",wanted product looking need good book keeping program easy use one come manual except line want written manual reference needed without internet show profitloss statement happy general,POSITIVE,0.948379457,0.495833333,0.733333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Not Complicated,4,"Just started, learning my way around seemed pretty straight forward, has help files built in. It's not complicated so most users should get around easily. Tech support is very alert.",complicated started learning way around seemed pretty straight forward help file built complicated user get around easily tech support alert,NEGATIVE,0.981906295,-0.023333333,0.846666667,Negative
Bookkeeper: Easily Manage Your Business Finances,Unable to set up my own chart of accounts,1,I cannot set up my chart of accounts with my account numbers from my previous out dated software.. It does not let me set up my own books. no help at all online,unable set chart account set chart account account number previous dated software let set book help online,NEGATIVE,0.999461353,-0.333333333,0.333333333,Negative
Bookkeeper: Easily Manage Your Business Finances,DON'T BUY,1,I really wanted someone non-cloud software on my laptop so thought this might be the answer.  But while installing i ran into an error so called for help and was told to pay $9.99 for help.  Maybe down the road but all they're interested is the money - not in helping someone set up.  First screen on startup was to buy supplies - and that was difficult to get passed.  I used Quicken but haven't for a while.  Guess I'll have to see what's going on with them.  But STAY AWAY from Avanquest if you may need assistance in setting up software.,dont buy really wanted someone noncloud software laptop thought might answer installing ran error called help told pay help maybe road theyre interested money helping someone set first screen startup buy supply difficult get passed used quicken havent guess ill see whats going stay away avanquest may need assistance setting software,NEGATIVE,0.999395013,-0.06,0.606666667,Negative
Bookkeeper: Easily Manage Your Business Finances,Program is not updated - was sent a replacement!,1,"The original order / CD was dated 2020, didnt work. Returned it and received a 2024 version?! Why wasnt I sent this in the first place?! Also, the rebate was ‘return to sender so not rebate either.",program updated sent replacement original order cd dated didnt work returned received version wasnt sent first place also rebate return sender rebate either,NEGATIVE,0.999411583,0.3125,0.541666667,Positive
Bookkeeper: Easily Manage Your Business Finances,I don't recommend you buy this software.,1,"I thought I would buy a simple, inexpensive bookkeeping software.  I could never get it to work properly on my machine.  After the fourth interaction with customer service, I decided to take the loss and not use the software.  I waited too long (3 months) to ask for a refund from Amazon.  That's fine because the software was inexpensive.  I purchased the software at the very end of October.  Customer service said I could buy their latest edition and see if that works.  No, I'm not going to try.",dont recommend buy software thought would buy simple inexpensive bookkeeping software could never NOT get work properly machine fourth interaction customer service decided take loss use software waited long month ask refund amazon thats fine software inexpensive purchased software end october customer service said could buy latest edition see work im going try,NEGATIVE,0.99355489,0.144444444,0.376190476,Positive
Bookkeeper: Easily Manage Your Business Finances,Not As Simple As Advertised,3,"We bought this product primarily for tracking income and expenses via our Bank check register.  It comes with a vast array of selections, mostly associated with tracking payroll, taxes, etc and we're still trying to figure our how to just register basic transactions.  It is way too complex without the option of selecting simple bookkeeping as was advertised.",simple advertised bought product primarily tracking income expense via bank check register come vast array selection mostly associated tracking payroll tax etc still trying figure register basic transaction way complex without option selecting simple bookkeeping advertised,NEGATIVE,0.989649773,0.085714286,0.462755102,Positive
Bookkeeper: Easily Manage Your Business Finances,Looked like QuickBooks. It is not.,3,It looked like QuickBooks. I am familiar with that. It is not QB. Taking a bit to get used to.,looked like quickbooks looked like quickbooks familiar qb taking bit get used,NEGATIVE,0.997834265,0.375,0.5,Positive
Bookkeeper: Easily Manage Your Business Finances,Do not buy this item!!,1,"I never wrote a review on Amazon.. but I want to warn potential buyers about this software..I only had issues with it from day 1!! Issues with ""Power library"" which supposedly has nothingto do with Bookkeeper -so why does it appear every time I try to use this very program???-, issuesbetween my CD version and a ""new version"" -that you HAVE to install- not letting me use the program at all!!And to top it off, a very slow tech support.. This is very disappointing to say the least!!If you are like me, just starting a business with many things to learn, you don't need to havea software adding hours of headache to your already full plate!!",buy item never NOT wrote review amazon want warn potential buyer softwarei issue day issue power library supposedly nothingto bookkeeper appear every time try use program issuesbetween cd version new version install letting use program alland top slow tech support disappointing say leastif like starting business many thing learn dont need havea software adding hour headache already full plate,NEGATIVE,0.998476565,0.073295455,0.525568182,Positive
Bookkeeper: Easily Manage Your Business Finances,Very Easy,4,"Use to work with Quickbook in the past. This software ""bookkeeper"" is very easy for data entry and small business.",easy use work quickbook past software bookkeeper easy data entry small business,NEGATIVE,0.996782184,0.091666667,0.579166667,Positive
Bookkeeper: Easily Manage Your Business Finances,"OK program, but Tech Support is Terrible",1,"I purchased this program in January 2020 and loaded on my laptop.  It was a little difficult to get used to at first, but I finally caught on.  Problem is that I got a new laptop a month later, so loaded program on my new laptop and restored the back-up data, but still cannot get it to work properly.  I have had no less than a dozen emails with the tech support and they are useless.  They keep telling me to do this and that, but nothing works.  I have wasted so much time that at this point, I am going to just purchase a different accounting program.  I DO NOT RECOMMEND!!!!",ok program tech support terrible purchased program january loaded laptop little difficult get used first finally caught problem got new laptop month later loaded program new laptop restored backup data still get work properly le dozen email tech support useless keep telling nothing work wasted much time point going purchase different accounting program recommend,NEGATIVE,0.96688956,-0.083198052,0.453030303,Negative
Bookkeeper: Easily Manage Your Business Finances,Does not have 2023 tax tables as claimed,5,"As of 4/27/23, this arrived with only 2022 tax tables.",tax table claimed arrived tax table,NEGATIVE,0.993023276,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,See my other notes.,1,"Sadly, I'm very accustomed to QuickBooks, but I can't afford it.  I tried this after using an Excel spread sheet for nearly a year, but I sent it back.  This program just didn't give me the information that I needed.  Would I recommend it?  If you're new to bookkeeping, yes.  If you're used to QB like I was, I'd have to say no.",see note sadly im accustomed quickbooks cant afford tried using excel spread sheet nearly year sent back program didnt give information needed would recommend youre new bookkeeping yes youre used qb like id say,NEGATIVE,0.996269584,-0.065909091,0.463636364,Negative
Bookkeeper: Easily Manage Your Business Finances,Download doesn't work,1,"I bought this product and when I went to install it I couldn't get past the 2nd page.  I went to contact the company support, they wanted to charge me $9 for a token to fix their product that doesn't work.  I returned it to Amazon to get me money back.  I personally wouldn't recommend this product.",download doesnt work bought product went install couldnt get past nd page went contact company support wanted charge token fix product doesnt work returned amazon get money back personally wouldnt recommend product,NEGATIVE,0.998390436,-0.083333333,0.183333333,Negative
Bookkeeper: Easily Manage Your Business Finances,Poor support,1,"I bought one and recommend it to one of my customer, we both have the same experience with writing  check with program when you print the check it duplicate the name it is written too, what's bad about it the company who develop the program don't have a clue how to fix the problem, and getting them have to be email only. so this program does not do what they said it can do, it make your company look unprofessional",poor support bought one recommend one customer experience writing check program print check duplicate name written whats bad company develop program dont clue fix problem getting email program said make company look unprofessional,NEGATIVE,0.999593079,-0.55,0.633333333,Very Negative
Bookkeeper: Easily Manage Your Business Finances,Ease of use and setup,3,Easy to use and you can do more than one business each are password protected,ease use setup easy use one business password protected,NEGATIVE,0.988223493,0.433333333,0.833333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Makes you register after you have been using it and won't let you back in.,1,After 2 months I got a popup that I need to register so I did even though I had already done so when I installed the program. Now it will not let me open it because it said I am not registered.,make register using wont let back month got popup need register even though already done installed program let open said registered,NEGATIVE,0.992031932,0,0.25,Neutral
Bookkeeper: Easily Manage Your Business Finances,"Totally disappointed, irritated and frustrated",2,"Unable to open the program to set up company. Ordered twice, once for download and one hard disk to install but neither is working.",totally disappointed irritated frustrated unable open program set company ordered twice download one hard disk install neither working,NEGATIVE,0.999699116,-0.448333333,0.498333333,Negative
Bookkeeper: Easily Manage Your Business Finances,Spent the extra money and get a better program,2,Its not very good. I got what I paid for. This seems more like an old dos program that is not really windows.,spent extra money get better program good got paid seems like old do program really window,NEGATIVE,0.99834466,0.233333333,0.283333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Bookkeeper,3,"It works once you get some kind of training, the one I purchased did not come with any book instructions.",bookkeeper work get kind training one purchased come book instruction,NEGATIVE,0.943006456,0.6,0.9,Very Positive
Bookkeeper: Easily Manage Your Business Finances,Good bookkeeping program,4,New business.  It was easy to set up.  I am using it every day.,good bookkeeping program new business easy set using every day,POSITIVE,0.998285353,0.423232323,0.629292929,Positive
Bookkeeper: Easily Manage Your Business Finances,You get what you pay for,1,"This software is almost useless, so I stopped using it.  There may be a code or key to making it work, but I'm not sure what it is.  The price is very attractive, but it's a waste of money if it doesn't work.",get pay software almost useless stopped using may code key making work im sure price attractive waste money doesnt work,NEGATIVE,0.999716818,0.12,0.617777778,Positive
Bookkeeper: Easily Manage Your Business Finances,Recommend,4,This software is easy to use for a small start up business. I use it mostly as a guide just keep certain transactions in one place but it is not my sole software. I think it is great to get you on your way.,recommend software easy use small start business use mostly guide keep certain transaction one place sole software think great get way,POSITIVE,0.960615337,0.282936508,0.550793651,Positive
Bookkeeper: Easily Manage Your Business Finances,"Great product, but WARNING credit card service",4,"The bookkeeper product has served me well, but I made the mistake of signing up for the credit card company through this--First Data and Cardservice International were a nightmare.  They raised fees, gave poor service...WARNING to all who purchase this product to NOT get involved with them.",great product warning credit card service bookkeeper product served well made mistake signing credit card company thisfirst data cardservice international nightmare raised fee gave poor servicewarning purchase product get involved,NEGATIVE,0.998977423,0.133333333,0.45,Positive
Bookkeeper: Easily Manage Your Business Finances,Bad product not user friendly,1,Here are the points of why i dislike it so much1. Keeps it sample company as default even though I keep telling it to save mine as default.2. Video tutorial and tech support not working.3. Adding chart accounts wont accept any operating expense; you cant delete accounts already on the system whether you need them or not4. Cant tailor chart of accounts the way you need or want them,bad product user friendly point dislike much keep sample company default even though keep telling save mine default video tutorial tech support working adding chart account wont accept operating expense cant delete account already system whether need cant tailor chart account way need want,NEGATIVE,0.99932766,-0.041666667,0.455555556,Negative
Bookkeeper: Easily Manage Your Business Finances,Not user friendly,1,"Disliked everything about this product. Cannot delete accounts you do not need, difficult to add and/or modify existing accounts. The worst accounting program I have ever used.Do not waste your time. I gave it one star because system required at least one but this is No Stars",user friendly disliked everything product delete account need difficult add andor modify existing account worst accounting program ever useddo waste time gave one star system required least one star,NEGATIVE,0.999548733,-0.304166667,0.583333333,Negative
Bookkeeper: Easily Manage Your Business Finances,need to apply a p and l,2,can not do a p$l,need apply p l pl,NEGATIVE,0.81250912,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,Three Stars,3,"Ok, but not what i expected",three star ok expected,POSITIVE,0.996711612,0.2,0.45,Positive
Bookkeeper: Easily Manage Your Business Finances,Three Stars,3,Software is good support is useless,three star software good support useless,NEGATIVE,0.997759104,0.1,0.4,Positive
Bookkeeper: Easily Manage Your Business Finances,Very Unhappy,1,You cannot add a vendor's invoice if the amount is a credit.This is bookkeeping one o one.I had to return the software directly to Avanquest.Example Credit Amount  ( -1200.00 ) Credit Amount,unhappy add vendor invoice amount creditthis bookkeeping one onei return software directly avanquestexample credit amount credit amount,NEGATIVE,0.99933809,-0.25,0.65,Negative
Bookkeeper: Easily Manage Your Business Finances,Registering on line didn't work which stopped software from working..,1,"It's hard to learn new software but with annual lease payments required of most accounting software, I chose one without that requrement.  It is very cheap but I found it difficult to use with little guidance from Bookkeeper.",registering line didnt work stopped software working hard learn new software annual lease payment required accounting software chose one without requrement cheap found difficult use little guidance bookkeeper,NEGATIVE,0.997764707,-0.088560606,0.639242424,Negative
Bookkeeper: Easily Manage Your Business Finances,Burp,4,Burp,burp burp,NEGATIVE,0.915319562,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,Not a bit helpful!!,1,Promised a $10 rebate-----never materialized and I did send in every bit of necessary paper work.  The product is unusable!!,bit helpful promised rebatenever materialized send every bit necessary paper work product unusable,NEGATIVE,0.99867487,0,1,Neutral
Bookkeeper: Easily Manage Your Business Finances,Four Stars,4,"Very nice product, a bit lost in getting some things set up properly",four star nice product bit lost getting thing set properly,NEGATIVE,0.993716061,0.3,0.55,Positive
Bookkeeper: Easily Manage Your Business Finances,good for the beginner,4,"it's good for beginners, lots to learn, good if you are in a businessmade easy to follow, good for accounting student",good beginner good beginner lot learn good businessmade easy follow good accounting student,POSITIVE,0.999001443,0.646666667,0.646666667,Very Positive
Bookkeeper: Easily Manage Your Business Finances,Not like Quick Books!,1,I was told this product was comparable to Quick Books - NO WAY is this software comparable with Quick Books.  I returned the software could not figure out how to use it.  Did not like it.,like quick book told product comparable quick book way software comparable quick book returned software could figure use like,NEGATIVE,0.991048813,0.333333333,0.5,Positive
Bookkeeper: Easily Manage Your Business Finances,Not what I expected,2,"I thought I was getting a simple household bookeeping system that records my monthly income,cheking accounts,credit cards and overall monthlyhousehold bills and transactions.",expected thought getting simple household bookeeping system record monthly incomecheking accountscredit card overall monthlyhousehold bill transaction,NEGATIVE,0.986473918,-0.033333333,0.252380952,Negative
Bookkeeper: Easily Manage Your Business Finances,Not accurate,2,Software did not come with registration code and now having problems for updates becauze software keep asking for registration code on the box.,accurate software come registration code problem update becauze software keep asking registration code box,NEGATIVE,0.66952163,0.4,0.633333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Inexpensive,4,I'm not an accountant so maybe I don't understand. But I understand it a little better.,inexpensive im accountant maybe dont understand understand little better,NEGATIVE,0.992441297,0.15625,0.5,Positive
Bookkeeper: Easily Manage Your Business Finances,Wasn't what I wanted to keep personal finance on,2,Wasn't what I wanted to keep personal finance on,wasnt wanted keep personal finance wasnt wanted keep personal finance,NEGATIVE,0.995336592,0,0.3,Neutral
Bookkeeper: Easily Manage Your Business Finances,Not user friendly,1,If you have computer skills then you could figure this product out. If you have no computer skills just return this item. Instructions are poorly written and interface is not friendly.,user friendly computer skill could figure product computer skill return item instruction poorly written interface friendly,NEGATIVE,0.999742329,0.116666667,0.533333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Does not give the user sufficient control over the Ledger ...,2,"Does not give the user sufficient control over the Ledger categories.  Hence, is not adaptable to the needs of non-profit organizations.",give user sufficient control ledger give user sufficient control ledger category hence adaptable need nonprofit organization,NEGATIVE,0.863975823,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,Crap,1,Don't buy. Will not work,crap dont buy work,NEGATIVE,0.999573767,-0.8,0.8,Very Negative
Bookkeeper: Easily Manage Your Business Finances,STAY AWAY FROM THIS PRODUCT!! THEY JUST STOLEN $43.00 OF MY MONEY!!  PRODUCT IS A VERY OLD VERSION!,1,STAY AWAY FROM THIS OLD VERSION! Bookkeeper: Easily Manage Your Business Finances STAY AWAY AT ALL COST FROM THIS OLD VERSION! THEY DONT REFUND YOUR MONEY!,stay away product stolen money product old version stay away old version bookkeeper easily manage business finance stay away cost old version dont refund money,NEGATIVE,0.998703837,0.183333333,0.358333333,Positive
Bookkeeper: Easily Manage Your Business Finances,Not what I ordered,1,Couldn't get to work on my laptop.  I have Windows 10 which is not compatible with Bookkeeper.  Plus it is for Business and not Personal like I thought it was.  I also thought that I ordered a 2015 edison not a 2009.,ordered couldnt get work laptop window compatible bookkeeper plus business personal like thought also thought ordered edison,NEGATIVE,0.996233284,0,0.3,Neutral
Bookkeeper: Easily Manage Your Business Finances,Very useful,5,Easy to use,useful easy use,POSITIVE,0.997877002,0.366666667,0.416666667,Positive
Bookkeeper: Easily Manage Your Business Finances,I guess you get what you pay for - cheap defective product.,1,It wouldn't even download right to start with. Tech support is no help and ridiculous as well.,guess get pay cheap defective product wouldnt even download right start tech support help ridiculous well,NEGATIVE,0.999591768,0.117460317,0.745238095,Positive
Bookkeeper: Easily Manage Your Business Finances,great software,5,"Got 2014 version today. I dont understand what all the negativity is all about. It installed perfectly, it works flawlessly. Im running it on windows 7 ultimate,8 gig of ram, and i have had ZERO problems",great software got version today dont understand negativity installed perfectly work flawlessly im running window ultimate gig ram zero problem,POSITIVE,0.937906206,0.7,0.9375,Very Positive
Bookkeeper: Easily Manage Your Business Finances,A little more involved then what I needed.,1,Hard to follow and make sure transactions were posting accurately.  I can do better manually with a general ledger and sub-ledgers.  Obviously my business is small.  If I go bigger I'll put more effort into making this work.,little involved needed hard follow make sure transaction posting accurately better manually general ledger subledgers obviously business small go bigger ill put effort making work,NEGATIVE,0.999310851,-0.019907407,0.592283951,Negative
Bookkeeper: Easily Manage Your Business Finances,I can't get the invoice filled out so many things ...,1,I can't get the invoice filled out so many things.to fill out. Made a custom invoice ok but can't it filled out. I got your MyInvoice & Estimates but cant get to load in to Bookkeeper.  JIM PULLIN,cant get invoice filled many thing cant get invoice filled many thingsto fill made custom invoice ok cant filled got myinvoice estimate cant get load bookkeeper jim pullin,NEGATIVE,0.99780041,0.45,0.7,Positive
Bookkeeper: Easily Manage Your Business Finances,Was not worth the hassle,1,Don't have a video or photo or anything else.  Did not like the program,worth hassle dont video photo anything else like program,NEGATIVE,0.986445606,0.3,0.1,Positive
Bookkeeper: Easily Manage Your Business Finances,DINOSAUR!  KEEP AWAY!,1,This software is soooooo old theres no tech support.  No webpage exists to download features & updates.  It's a dinosaur.  DO NOT PURCHASE THIS PROGRAM!,dinosaur keep away software soooooo old there tech support webpage exists download feature update dinosaur purchase program,NEGATIVE,0.985490322,0.1,0.2,Positive
Bookkeeper: Easily Manage Your Business Finances,Outdated software,1,"We returned to Amazon, outdated, company had a newer version when bought directly from them",outdated software returned amazon outdated company newer version bought directly,NEGATIVE,0.999642253,-0.233333333,0.555555556,Negative
Bookkeeper: Easily Manage Your Business Finances,i  to help kept this software remind me to never waste my money on this type of junk.,1,"no instructions, no help on how to work with this program.",help kept software remind never NOT waste money type junk instruction help work program,POSITIVE,0.968690276,0.1,0,Positive
Bookkeeper: Easily Manage Your Business Finances,This program sucks! I downloaded it and once I tried to ...,1,This program sucks! I downloaded it and once I tried to open the programs... A message displayed stating that the IP address and email is no longer valid... I couldn't utilize the programs at all due to this.,program suck downloaded tried program suck downloaded tried open program message displayed stating ip address email longer valid couldnt utilize program due,NEGATIVE,0.999591768,-0.0625,0.4375,Negative
Bookkeeper: Easily Manage Your Business Finances,Used previously,1,"I received a used product,  that has other people's information on it, that I can't delete.",used previously received used product people information cant delete,NEGATIVE,0.998877704,-0.166666667,0.166666667,Negative
Bookkeeper: Easily Manage Your Business Finances,Easy to use,5,Good product for your company.,easy use good product company,POSITIVE,0.998808026,0.566666667,0.716666667,Very Positive
Bookkeeper: Easily Manage Your Business Finances,Five Stars,5,This software is more than I bargained for . I was looking for a simple checkbook application,five star software bargained looking simple checkbook application,NEGATIVE,0.992068648,0,0.357142857,Neutral
Bookkeeper: Easily Manage Your Business Finances,No Good,1,I could not use it because it won't print checks and thats the only reason I bought this for. Useless,good could use wont print check thats reason bought useless,NEGATIVE,0.996424735,0.1,0.4,Positive
Bookkeeper: Easily Manage Your Business Finances,no support,1,wouldn't download called support received no help returned product,support wouldnt download called support received help returned product,NEGATIVE,0.990594268,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,Bookkeeper,1,No he recibido mi rembolso hasta eldia de  hoy 07/12/2020 por $42.39,bookkeeper recibido mi rembolso hasta eldia de hoy por,NEGATIVE,0.907304764,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,One Star,1,Had to send back I thought that it work with Mac but it does not,one star send back thought work mac,POSITIVE,0.799467266,0,0,Neutral
Bookkeeper: Easily Manage Your Business Finances,Bookkeeper 2009,5,"Always a winner. Ease in uploading company information and range os options to customize your every entry.Works for everyone, no previous experience needed.",bookkeeper always winner ease uploading company information range o option customize every entryworks everyone previous experience needed,POSITIVE,0.961452842,-0.166666667,0.166666667,Negative
Bookkeeper: Easily Manage Your Business Finances,East to use.,5,This product as made my life so much easier with logging my inventory and sales for my  home based business.,east use product made life much easier logging inventory sale home based business,NEGATIVE,0.991942644,0.2,0.2,Positive
